age;gender;region;education;dutch;english;mandarin;hindi;enjoy_E_low;valence_E_low_1;familiar_E_low;enjoy_H_mid;valence_H_mid_1;familiar_H_mid;enjoy_D_low;valence_D_low_1;familiar_D_low;enjoy_H_high;valence_H_high_1;familiar_H_high;enjoy_M_high;valence_M_high_1;familiar_M_high;enjoy_E_mid;valence_E_mid_1;familiar_E_mid;enjoy_D_mid;valence_D_mid_1;familiar_D_mid;enjoy_H_low;valence_H_low_1;familiar_H_low;enjoy_M_low;valence_M_low_1;familiar_M_low;enjoy_E_high;valence_E_high_1;familiar_E_high;enjoy_M_mid;valence_M_mid_1;familiar_M_mid;enjoy_D_high;valence_D_high_1;familiar_D_high
20;2;China;3;3;3;1;1;1;3;1;3;5;3;3;4;1;2;6;3;5;6;5;3;4;1;2;3;1;2;4;2;;;;3;4;2;3;4;4;2;6;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;Malaysia;2;1;5;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;Netherlands;2;6;3;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;Angola;3;;4;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;Malaysia;2;1;4;4;1;;;;;;;;;;1;3;1;4;5;4;;;;;;;;;;;;;1;4;1;;;;;;
21;2;Malaysia;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2;United Kingdom of Great Britain and Northern Ireland;3;1;6;1;1;5;1;5;2;3;1;2;4;2;2;4;1;3;4;1;2;1;5;1;3;1;2;3;1;2;1;1;2;3;2;2;1;1;2;7;1
20;2;India;2;1;5;1;4;3;1;1;4;7;5;1;1;1;4;5;5;3;7;1;2;1;1;2;4;1;2;4;1;1;7;1;1;7;1;2;6;1;1;7;1
21;2;Romania;3;2;5;1;1;3;3;2;1;3;1;1;2;1;1;6;1;3;4;1;4;4;2;2;4;1;1;6;1;2;3;1;4;6;4;2;4;1;1;7;1
21;2;Czech Republic;2;1;5;1;1;4;3;1;2;4;1;1;5;1;3;4;1;3;4;1;3;3;1;2;4;1;3;5;1;2;5;1;3;6;1;3;5;1;1;7;1
